frame,Ankle.R_x,Ankle.R_y,Ankle.R_z,Knee.R_x,Knee.R_y,Knee.R_z,Hip.R_x,Hip.R_y,Hip.R_z,Hip.L_x,Hip.L_y,Hip.L_z,Knee.L_x,Knee.L_y,Knee.L_z,Ankle.L_x,Ankle.L_y,Ankle.L_z,Wrist.R_x,Wrist.R_y,Wrist.R_z,Elbow.R_x,Elbow.R_y,Elbow.R_z,Shoulder.R_x,Shoulder.R_y,Shoulder.R_z,Shoulder.L_x,Shoulder.L_y,Shoulder.L_z,Elbow.L_x,Elbow.L_y,Elbow.L_z,Wrist.L_x,Wrist.L_y,Wrist.L_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Nose_x,Nose_y,Nose_z,Eye.L_x,Eye.L_y,Eye.L_z,Eye.R_x,Eye.R_y,Eye.R_z,Ear.L_x,Ear.L_y,Ear.L_z,Ear.R_x,Ear.R_y,Ear.R_z,hip.Center_x,hip.Center_y,hip.Center_z
1,0.31997237,-0.43435016,-0.28799346,0.09592402,-0.09836935,-0.21434335,0.015898632,0.28637490000000004,-0.12044276,-0.030906217000000003,0.22555494,0.09976481,-0.24276008,-0.06768108,-0.029851202,-0.26441514,-0.45824677,-0.1573836,-0.20165373,0.4559242,-0.28611776,0.03068358,0.49003503,-0.27896112,-0.0033901446,0.67305624,-0.0965443,-0.10692694,0.65485877,0.16293332,-0.18726158,0.4105875,0.23295462,-0.37333426,0.39509740000000004,0.09646622,-0.068318985,0.7261179,0.02919833,-0.07701794,0.9361173,0.015938483,-0.20941820000000003,0.854706,0.024389802999999998,-0.17162788,0.89116585,0.055013068,-0.17437068,0.8896344,-0.010941218999999999,-0.08066267,0.8674685,0.08787732,-0.08300708,0.86406755,-0.055005692,-0.007503792643547058,0.2559649348258972,-0.010338976979255676
2,0.37802473,-0.40180615,-0.2549087,0.10526084,-0.09921579,-0.20657994,0.01074457,0.28578073,-0.12305272,-0.026103089,0.23085538,0.10126175,-0.24527524,-0.061861623,-0.016782632,-0.24068522,-0.45045573,-0.14832874,-0.20998901,0.47062874,-0.23537168,0.014654172,0.5078436,-0.29053956,-0.017545274,0.68362904,-0.10039089,-0.10996708,0.6585248,0.16394702,-0.18767428,0.41280043,0.23181659,-0.34972270000000005,0.4253449,0.068716444,-0.07627921,0.73271406,0.029590491,-0.079342656,0.94179785,0.023166716,-0.21541418,0.8654497,0.018182995,-0.17894337,0.9000440000000001,0.05284445,-0.17568076,0.89966476,-0.0131718535,-0.09199077,0.87174046,0.09373731,-0.08175861,0.8711295,-0.049279034000000006,-0.007679259404540063,0.2583180665969849,-0.010895486921072006
3,0.37406778,-0.4049547,-0.25342995,0.10353864,-0.09993048,-0.20688601,0.011586603999999999,0.28570559999999995,-0.12305884,-0.026786947999999998,0.23094805,0.10111035,-0.24496888,-0.0628006,-0.017229075,-0.24136418,-0.4523938,-0.14669302,-0.20899563,0.47019696,-0.23619065,0.01572171,0.5079680999999999,-0.29120544,-0.01622481,0.68362176,-0.10066749,-0.10914167,0.6586628999999999,0.16360717,-0.18660301,0.41293758,0.23242414,-0.34797147,0.42541447,0.06857582,-0.07510383,0.73276573,0.029218707000000003,-0.07746719,0.9417983,0.02247203,-0.21384001,0.8659658000000001,0.017292371,-0.17732188,0.9004873,0.051979877,-0.17388746,0.89995897,-0.014029403999999999,-0.09057921,0.87193245,0.09316059,-0.07996911,0.8709886,-0.049841896,-0.007600171957165003,0.25832682847976685,-0.010974247008562088
4,0.3591958,-0.4060101,-0.29097652,0.096801236,-0.09943868,-0.20430651,-0.007910164,0.2870922,-0.12451366,-0.010014054,0.23373779999999997,0.10358224,-0.22475232,-0.07355477,0.007193019,-0.24908917,-0.45924962,-0.13513799,-0.17847909,0.45426476,-0.19300386,0.038246267,0.5023826,-0.26866059999999997,-0.020247743999999998,0.6898376,-0.09487839,-0.08426006,0.665026,0.17990601,-0.13607682,0.41377264,0.2557453,-0.30583423,0.41335186,0.09848719,-0.068973616,0.7405418,0.042458493,-0.08805637,0.9524534,0.040391315,-0.21628284,0.86405265,0.05173089,-0.17834505,0.9016528,0.08205189,-0.18400118,0.9021316999999999,0.01608209,-0.08459999,0.880727,0.110835664,-0.09349572,0.88228244,-0.03247091,-0.008962109684944153,0.2604150176048279,-0.01046571135520935
5,0.37223920000000005,-0.31562516,-0.40973455,0.07401546,-0.09459153599999999,-0.22949642,-0.05836492,0.2704139,-0.11411424,0.03952301,0.24597313,0.094621,-0.18523121,-0.06479116,0.11823310000000001,-0.18991104,-0.4537307,-0.0071091787,-0.29660190000000003,0.5827796,-0.14218567,-0.130651,0.52081376,-0.28603190000000006,-0.10061422,0.6929893,-0.09439810000000001,-0.0056512123,0.6731968,0.16384143,-0.006929,0.42596649999999997,0.23740655,-0.22135097,0.49376136,0.21005839999999998,-0.06792991,0.74363476,0.043166615,-0.058531344000000006,0.9462165000000001,0.05719221,-0.19234283,0.8790891,0.10153577,-0.14211276,0.90865874,0.12106845,-0.16446646,0.91389245,0.059040494000000006,-0.04892873,0.87070125,0.12313036599999999,-0.09529835,0.88311094,-0.011026766,-0.009420955553650856,0.2581935226917267,-0.009746618568897249
6,0.39960662,-0.3437683,-0.3667546,0.102252014,-0.089664824,-0.22606182,-0.03997758,0.27710897,-0.12329835,0.021509595,0.24350293,0.101218216,-0.20532824,-0.06850734,0.07508852,-0.22974987,-0.4620245,-0.047475092,-0.34525967,0.67300886,-0.1837358,-0.1769861,0.5796026999999999,-0.3115844,-0.10409067,0.70282733,-0.09106664,-0.021821901,0.6714846,0.17075697,0.033289954,0.42428094,0.23660860000000003,-0.19346429999999998,0.40728292,0.21842536,-0.08194966,0.7447881,0.04967334,-0.08400699,0.9476604,0.07268352,-0.21677962,0.8723395,0.10745839999999998,-0.16842416,0.9025183000000001,0.13086808,-0.18847506,0.91055226,0.06804842,-0.07310699,0.86860216,0.13471301,-0.115003005,0.8867695,-0.0015433839999999999,-0.0092339925467968,0.2603059411048889,-0.011040065437555313
7,0.31359944,-0.33482626,-0.43131378,0.03568786,-0.09467332,-0.24439989999999998,-0.056462843,0.27571437,-0.11564967,0.041094378,0.24856581,0.09469812,-0.17270534,-0.06271344,0.14069186,-0.19222406,-0.4655134,0.063254096,-0.32047218,0.5452764,-0.15087561,-0.13766763,0.5104964,-0.28544313,-0.11057417,0.689509,-0.0969112,-0.009653378,0.67727876,0.1622076,0.036807194,0.42806876,0.21687284,-0.18225870000000002,0.47142822,0.17876486,-0.08018482,0.7452248,0.039373536,-0.083222605,0.9521261999999999,0.043010186,-0.22074473,0.87861294,0.05089864,-0.18125682,0.9138993000000001,0.081605926,-0.18215403,0.9111714,0.015619269,-0.091159336,0.8835902,0.11854254,-0.09283842,0.8801822,-0.024674058,-0.0076842326670885095,0.26214009523391724,-0.010475773364305494
8,0.4622541,-0.3310278,-0.1847726,0.13299589,-0.08941543,-0.20139532,0.0071103623999999995,0.2869938,-0.126863,-0.017705921,0.24888016,0.10292561,-0.27778953,-0.009304590500000001,0.026316084,-0.26510587,-0.39677656,-0.09686594,-0.28046724,0.50860107,-0.30427334,-0.048216592999999995,0.528878,-0.33166078,-0.06602762,0.69756174,-0.13090448,-0.09019578,0.69478965,0.14953873,-0.06587039,0.48291594,0.3074422,-0.28003854,0.5008168,0.23157175,-0.102475606,0.7518562,0.005832238000000001,-0.13400479,0.9580575000000001,-0.013595036999999999,-0.25976515,0.8660498999999999,0.0025014635,-0.22415063,0.9083912000000001,0.029818779,-0.2259458,0.90119183,-0.035960703999999996,-0.13083307,0.8939879000000001,0.06585671,-0.13280378,0.87994075,-0.079090334,-0.005297779105603695,0.26793697476387024,-0.011968694627285005
9,0.46308875,-0.33292285,-0.1832858,0.13532539,-0.08914165,-0.19857101,0.0075151309999999995,0.28704968,-0.12680203,-0.018374633,0.24881342,0.10274052,-0.2772372,-0.010815848000000001,0.024875400000000002,-0.2623374,-0.39846322,-0.09726861,-0.27247897,0.5099383,-0.31064108,-0.039575614,0.5290651999999999,-0.33074743,-0.062022757000000005,0.6980506,-0.13094547,-0.09025107,0.69599396,0.14893216,-0.071078956,0.4852856,0.30881935,-0.28486818,0.50498456,0.23244616,-0.10027036,0.75260603,0.005129004,-0.1305599,0.9586640999999999,-0.014813898,-0.2570613,0.86747956,0.0007850750999999999,-0.22127527,0.9096084999999999,0.02822278,-0.22282596,0.9023476999999999,-0.037559308,-0.12820666,0.8946549000000001,0.06469457,-0.12959793,0.8804311,-0.08025839,-0.005429751239717007,0.2679315507411957,-0.012030754238367079
10,0.39564297,-0.38715762,-0.14763512,0.09516096,-0.110808894,-0.19892961,0.012269239,0.28125092,-0.13026814,-0.017757451,0.25607559999999996,0.10321141,-0.2907656,0.0048595667,0.03781766,-0.23848647,-0.38579476,-0.07324223,-0.23515239999999998,0.45825088,-0.28579566,-0.01422061,0.511649,-0.35242352,-0.07463098,0.6875508,-0.16419592,-0.09916628,0.7053923000000001,0.11584061,-0.022877995,0.5209652,0.2923623,-0.22070721,0.47058588,0.18451959,-0.1190195,0.74667794,-0.03145063,-0.18216884,0.94523257,-0.06215519,-0.2902823,0.83331674,-0.04953656,-0.26471597,0.8820189,-0.02220533,-0.26021558,0.8723141999999999,-0.08742869,-0.17344856,0.8860444,0.02096343,-0.1620302,0.8660779000000001,-0.12335679,-0.002744106110185385,0.2686632573604584,-0.013528365641832352
